Ticker,Date,Headline,Link,Sentiment_Score,Sentiment_Label
AMZN,2026-07-08 19:09:28,Estee Lauder Raises Restructuring Charges to $1.75 Billion,https://finance.yahoo.com/markets/stocks/articles/estee-lauder-raises-restructuring-charges-190928171.html?.tsrc=rss,-0.2732,Negative
AMZN,2026-07-08 18:50:18,Corning Incorporated (GLW) Announces Quarterly Dividend,https://finance.yahoo.com/markets/stocks/articles/corning-incorporated-glw-announces-quarterly-185018770.html?.tsrc=rss,0.0,Neutral
AMZN,2026-07-08 18:44:00,"Cerebras Stock: Wafer-Scale AI Offers Big Potential, Big Risks?",https://finance.yahoo.com/technology/ai/articles/cerebras-stock-wafer-scale-ai-184400121.html?.tsrc=rss,-0.2732,Negative
AMZN,2026-07-08 18:32:35,Bezos’ Blue Origin is raising outside capital for the first time to compete for NASA contracts as rival SpaceX’s stock falters,https://finance.yahoo.com/technology/articles/bezos-blue-origin-raising-outside-183235561.html?.tsrc=rss,0.0,Neutral
AMZN,2026-07-08 18:25:00,Sterling Infrastructure Should Regain Momentum Soon,https://www.fool.com/investing/2026/07/08/sterling-infrastructure-should-regain-momentum-soo/?.tsrc=rss,0.0,Neutral
AMZN,2026-07-08 17:57:18,Will Ace Hardwire RedVest Into An AI Retail Media Network?,https://www.mediapost.com/publications/article/416376/will-ace-hardwire-redvest-into-an-ai-retail-media.html?.tsrc=rss,0.0,Neutral
AMZN,2026-07-08 17:54:11,Jeff Bezos Says ‘We Don’t Have a Revenue Problem’ in America — Bottom Half Paying Just 3% of Taxes Means ‘We Can Find 3%’,https://www.barchart.com/story/news/3189933/jeff-bezos-says-we-dont-have-a-revenue-problem-in-america-bottom-half-paying-just-3-of-taxes-means-we-can-find-3?.tsrc=rss,0.0,Neutral
AMZN,2026-07-08 17:40:48,Blue Origin Is Raising Cash at a Big Valuation—But Space Stocks Continue to Struggle Post-SpaceX IPO,https://www.investopedia.com/blue-origin-is-raising-cash-at-a-big-valuation-but-space-stocks-continue-to-struggle-post-spacex-ipo-12014279?.tsrc=rss,-0.3182,Negative
AMZN,2026-07-08 17:39:27,Sector Update: Tech Stocks Rise Wednesday Afternoon,https://finance.yahoo.com/technology/articles/sector-tech-stocks-rise-wednesday-173927838.html?.tsrc=rss,0.0,Neutral
AMZN,2026-07-08 17:30:00,WBD Stock Gains On Announcing Agentic AI Ad-Tech Platform Built On AMZN's AWS,https://stocktwits.com/news-articles/markets/equity/wbd-stock-gains-on-announcing-agentic-ai-ad-tech-platform-built-on-amzn-s-aws/cZmVUXBR7Vb?.tsrc=rss,0.34,Positive
TSLA,2026-07-09 03:31:14,"Elon Musk Says Optimus, AI Will Enable 'Excellent' Healthcare—Cathie Wood Sees $50 Billion AI Compute Need",https://finance.yahoo.com/technology/ai/articles/elon-musk-says-optimus-ai-033114121.html?.tsrc=rss,0.0,Neutral
TSLA,2026-07-09 02:51:20,SPCX Stock Records 3-Day Slide: Elon Musk Admits Anthropic’s Fable Is 'Definitely Better' Than Grok 4.5,https://stocktwits.com/news-articles/markets/equity/spcx-elon-musk-anthropic-fable-better-than-grok/cZmoSRdR7V0?.tsrc=rss,0.7783,Positive
TSLA,2026-07-09 01:17:00,Tesla’s Model Y just got a sharper Rivian threat,https://www.thestreet.com/automotive/tesla-model-y-just-got-competition-rivian-r2?.tsrc=rss,-0.5267,Negative
TSLA,2026-07-08 22:00:20,"Dow Ends Lower To Record Worst Day In Nearly A Month As US-Iran Jitters Push Oil Prices — TSLA, NVDA, BE, AAPL, WBD  In Focus",https://stocktwits.com/news-articles/markets/equity/dow-ends-lower-to-record-worst-day-in-nearly-a-month-as-us-iran-jitters-push-oil-prices-tsla-nvda-be-aapl-wbd-in-focus/cZmn5ZFR7VB?.tsrc=rss,-0.743,Negative
TSLA,2026-07-08 21:47:00,Elon Musk’s AI jobs prediction gets harsh reality check,https://www.thestreet.com/employment/elon-musks-ai-jobs-prediction-gets-reality-check-from-michael-burry?.tsrc=rss,-0.4404,Negative
TSLA,2026-07-08 20:46:57,ARKK's Dip History Comes With A Warning,https://www.trefis.com/articles/606191/arkks-dip-history-comes-with-a-warning/2026-07-08?.tsrc=rss,-0.34,Negative
TSLA,2026-07-08 20:36:00,What Is SpaceX Really Worth? Wall Street Disagrees on Elon Musk’s Huge Valuation.,https://finance.yahoo.com/m/4f27ab8e-b1f4-3096-96cb-ee3633c003a3/what-is-spacex-really-worth%3F.html?.tsrc=rss,0.2944,Positive
TSLA,2026-07-08 20:29:00,"Top Research Reports for Tesla, Bank of America & Merck",https://finance.yahoo.com/markets/stocks/articles/top-research-reports-tesla-bank-202900156.html?.tsrc=rss,0.2023,Positive
TSLA,2026-07-08 20:26:00,Why a Tesla-SpaceX Merger Is No Sure Thing,https://finance.yahoo.com/m/44a0d553-7d87-308c-93ec-f0a8640df7b0/why-a-tesla-spacex-merger-is.html?.tsrc=rss,0.0258,Neutral
